Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Enemy 6,Enemy 7,Enemy 8
-90.0,-50.0,-100,-90.0,1.2000000000002302,-100,-90.0,-100
-100,-40.0,-80.0,-90.0,-7.399999999999757,-100,-70.0,-80.0
-90.0,-80.0,-80.0,-70.0,30.40000000000026,-100,-80.0,-80.0
-70.0,-90.0,-90.0,-70.0,34.60000000000027,-80.0,-80.0,-80.0
-80.0,-90.0,-90.0,-90.0,30.40000000000026,-100,-80.0,-80.0
-90.0,-60.0,-90.0,-80.0,32.200000000000266,-100,-80.0,-80.0
-70.0,-60.0,-70.0,-80.0,14.800000000000228,-100,-70.0,-100
-100,-80.0,-70.0,-90.0,7.600000000000232,-100,-90.0,-90.0
-90.0,-80.0,-90.0,-80.0,43.60000000000029,-100,-80.0,-90.0
-80.0,-70.0,-90.0,-90.0,36.400000000000276,-100,-70.0,-90.0
