gen,avg_distance
0,13.262804984241834
1,12.997088062223124
2,12.585962028223175
3,11.523169902368826
4,9.729161007565805
5,6.7520454929061415
6,5.838305316923192
7,4.830642755504232
8,4.311078431094439
9,4.186759731349922
10,3.7876487884023775
11,3.5698087403098775
12,3.1517584657080637
13,2.5658195079773547
14,2.083939815505351
15,1.1171238120429872
16,0.2708038590861946
17,0.011383837780032567
18,0.03068371168841719
19,0.0435312056329097
20,0.04079430851628496
21,0.04224992767170425
22,0.04742328933839942
23,0.041727559660165156
24,0.034269328694027025
25,0.03328712022322196
26,0.033758391636751844
27,0.033667337061514854
28,0.03928443796139926
29,0.03484740713156852
30,0.03575090297260345
31,0.0362868010777399
32,0.03405458373852941
33,0.03208699028485459
34,0.03144631302830829
35,0.03158242261987716
36,0.03340387406412331
37,0.03197608374935229
38,0.038181671822746246
39,0.04527163659732844
40,0.037538383698709585
41,0.054110341013154636
42,0.06435328765611535
43,0.03774999051945747
44,0.014292796100558693
45,0.013467435146672414
46,0.011279905659559133
47,0.011497451334034292
48,0.007159889617235862
49,0.009350400007133556
50,0.013609458524341755
